employee_id;directorate_id;position_id;grade_id;company_id;area_id;tiki;pauli;faxtor;mbti;disc_word;rank;tv_name;tgv_name;years_of_service_months
EMP101336;3;6;2;1;2;4;23;46;;Steadiness-Influencer;14;;;54
EMP100014;1;6;2;3;3;7;92;54;ISTJ;Steadiness-Influencer;14;Empathy;Social Orientation & Collaboration;65
EMP100015;2;3;3;4;2;7;65;77;ENFP;Dominant-Conscientious;14;Restorative;Cognitive Complexity & Problem-Solving;28
EMP100016;2;6;2;1;4;5;83;93;ISTP;Steadiness-Influencer;14;Adaptability;Adaptability & Stress Tolerance;39
EMP100017;2;4;3;2;1;1;55;80;ENTJ;Conscientious-Steadiness;14;Individualization;Cognitive Complexity & Problem-Solving;95
EMP100018;3;5;2;4;3;3;66;69;ESFJ;Steadiness-Conscientious;14;Harmony;Social Orientation & Collaboration;53
EMP100019;2;4;1;3;4;10;28;72;ISTP;Conscientious-Dominant;14;Strategic;Cognitive Complexity & Problem-Solving;27
EMP100020;1;1;2;1;3;1;83;83;ENFP;Dominant-Conscientious;14;Includer;Social Orientation & Collaboration;31
EMP100021;2;1;3;3;3;2;22;34;INFP;Conscientious-Steadiness;14;Significance;Motivation & Drive;81
EMP100022;2;2;2;2;1;8;49;94;ISTP;Influencer-Conscientious;14;Discipline;Conscientiousness & Reliability;53
EMP100023;2;3;2;4;2;5;86;52;ESTJ;Dominant-Conscientious;14;Arranger;Leadership & Influence;49
EMP100000;3;1;2;1;4;2;86;75;;Steadiness-Influencer;14;;;64
EMP100024;2;5;2;2;1;5;64;23;ESTP;Conscientious-Dominant;14;Connectedness;Cognitive Complexity & Problem-Solving;44
EMP100025;3;1;3;1;3;8;53;71;ESTJ;Conscientious-Steadiness;14;Adaptability;Adaptability & Stress Tolerance;20
EMP100026;2;4;2;4;1;4;96;37;ESFJ;Influencer-Steadiness;14;Competition;Motivation & Drive;65
EMP100027;1;2;3;3;3;9;93;76;INFP;Steadiness-Conscientious;14;Discipline;Conscientiousness & Reliability;132
EMP100028;1;3;2;3;1;3;95;71;INFP;Steadiness-Influencer;14;Deliberative;Conscientiousness & Reliability;22
EMP100029;1;5;1;3;3;10;93;85;INTP;Dominant-Conscientious;14;Maximizer;Leadership & Influence;32
EMP100030;2;5;3;3;1;4;46;100;ESTJ;Dominant-Steadiness;14;Restorative;Cognitive Complexity & Problem-Solving;56
EMP100031;3;3;2;4;4;3;34;93;INTJ;Conscientious-Dominant;14;Maximizer;Leadership & Influence;34
EMP100032;3;3;1;2;1;7;29;85;ENTJ;Dominant-Steadiness;14;Maximizer;Leadership & Influence;34
EMP100033;3;5;2;2;2;6;53;83;ENFP;Influencer-Dominant;14;Futuristic;Creativity & Innovation Orientation;37
EMP100034;2;6;1;1;4;5;34;35;ENFP;Dominant-Steadiness;14;Achiever;Motivation & Drive;86
EMP100035;3;1;3;3;4;7;84;36;;Dominant-Influencer;14;Command;Leadership & Influence;57
EMP100036;3;1;3;2;1;3;96;81;ESFJ;Conscientious-Dominant;14;Woo;;54
EMP100037;1;6;2;1;1;1;45;41;ISTJ;Conscientious-Influencer;14;Connectedness;Cognitive Complexity & Problem-Solving;52
EMP100038;2;6;3;3;3;2;28;51;ESFP;Influencer-Conscientious;14;Belief;Cultural & Values Urgency;50
EMP100039;2;4;1;2;2;9;51;52;ISFP;Steadiness-Influencer;14;Futuristic;Creativity & Innovation Orientation;65
EMP100040;3;4;2;3;1;10;55;36;ESTP;Influencer-Dominant;14;Discipline;Conscientiousness & Reliability;81
EMP100041;1;3;1;4;2;7;53;32;ISTJ;Influencer-Steadiness;14;Intellection;Cognitive Complexity & Problem-Solving;99
EMP100042;2;6;1;3;3;1;63;43;ENFP;Conscientious-Dominant;14;Command;Leadership & Influence;28
EMP100043;2;3;1;2;2;9;41;97;ESFJ;Steadiness-Dominant;14;Learner;Cognitive Complexity & Problem-Solving;40
EMP100044;2;5;1;4;4;5;74;44;ESFP;Influencer-Dominant;14;Focus;Motivation & Drive;8
EMP100045;1;2;3;2;3;1;99;71;ISTJ;Dominant-Steadiness;14;Ideation;Creativity & Innovation Orientation;38
EMP100046;1;1;2;3;4;6;67;91;ISTJ;Dominant-Conscientious;14;Adaptability;Adaptability & Stress Tolerance;64
EMP100047;1;2;1;3;2;1;61;55;ISTJ;Influencer-Dominant;14;Competition;Motivation & Drive;58
EMP100048;3;4;1;3;4;1;37;32;ESFJ;Steadiness-Influencer;14;Relator;Social Orientation & Collaboration;50
EMP100049;1;5;3;1;4;5;94;30;INTP;Dominant-Conscientious;14;Achiever;Motivation & Drive;35
EMP100050;3;4;1;4;3;6;81;54;;Dominant-Conscientious;14;;;69
EMP100051;3;5;1;4;4;7;94;61;INFP;Conscientious-Steadiness;14;Analytical;Cognitive Complexity & Problem-Solving;98
EMP100052;2;4;3;1;4;10;69;55;ISTJ;Influencer-Conscientious;14;;;23
EMP100053;1;1;3;1;3;5;97;71;ISFJ;Influencer-Steadiness;14;Self-Assurance;Leadership & Influence;52
EMP100054;1;4;1;2;4;8;23;42;ISTJ;Steadiness-Influencer;14;Includer;Social Orientation & Collaboration;22
EMP100055;1;6;2;1;2;9;50;80;INFJ;Dominant-Steadiness;14;Discipline;Conscientiousness & Reliability;42
EMP100056;2;1;1;4;4;5;44;20;INTJ;Conscientious-Influencer;14;Achiever;Motivation & Drive;96
EMP100057;3;6;3;3;2;9;39;27;ENTP;Influencer-Steadiness;14;Empathy;Social Orientation & Collaboration;60
EMP100058;2;2;3;3;3;8;60;96;INTJ;Conscientious-Steadiness;14;Self-Assurance;Leadership & Influence;66
EMP100059;1;3;3;2;3;9;64;77;;Steadiness-Influencer;14;Activator;Leadership & Influence;75
EMP100060;3;3;2;1;4;7;46;96;ENTP;Conscientious-Steadiness;14;Deliberative;Conscientiousness & Reliability;44
EMP100061;1;6;3;4;3;6;92;22;ENTP;Influencer-Conscientious;14;Competition;Motivation & Drive;46
EMP100062;2;4;2;3;3;8;42;25;ISTP;Dominant-Influencer;14;Learner;Cognitive Complexity & Problem-Solving;40
EMP100063;1;1;1;2;1;8;45;96;ESFP;Steadiness-Conscientious;14;;;42
EMP100064;3;6;3;1;2;4;55;27;ESTP;Influencer-Steadiness;14;Futuristic;Creativity & Innovation Orientation;38
EMP100065;2;1;2;1;4;10;22;29;ISFP;Conscientious-Steadiness;14;Harmony;Social Orientation & Collaboration;24
EMP100066;1;3;1;1;4;10;54;64;ENTJ;Conscientious-Dominant;14;Ideation;Creativity & Innovation Orientation;65
EMP100067;1;3;3;1;3;6;40;38;INTJ;Steadiness-Dominant;14;Intellection;Cognitive Complexity & Problem-Solving;89
EMP100068;2;3;1;4;1;5;34;60;INTP;Dominant-Influencer;14;Discipline;Conscientiousness & Reliability;68
EMP100069;3;4;1;1;3;10;36;41;INFJ;Influencer-Conscientious;14;Restorative;Cognitive Complexity & Problem-Solving;61
